1. How much in $ did you sell in each city? ,,,,,"2. Per each home appliance item, how many items were sold by your company?",,,,,
,,,,,,,,,,
EMEA,Egypt,Cairo,12816,,,,,,,
EMEA,France,Paris,16374,,,,,,,
EMEA,Germany,Berlin,16397,,,,,,,
EMEA,Greece,Athens,11167,,,,,,,
EMEA,Ireland,Dublin,17896,,,,,,,
EMEA,Israel,Jerusalem,10932,,,,,,,
EMEA,Israel,Tel Aviv,15277,,,,,,,
EMEA,Italy,Rome,11910,,,,,,,
EMEA,Netherlands,Amsterdam,14850,,,,,,,
EMEA,Poland,Warsaw,14846,,,,,,,
EMEA,Romania,Bucharest,13102,,,,,,,
EMEA,Russia,Moscow,21083,,,,,,,
EMEA,Saudi Arabia,Riyadh,12205,,,,,,,
EMEA,South Africa,Capetown,15686,,,,,,,
EMEA,Spain,Madria,17477,,,,,,,
EMEA,Turkey,Istanbul,12263,,,,,,,
EMEA,UAE,Dubai,11520,,,,,,,
EMEA,UK,Birmingham,12568,,,,,,,
EMEA,UK,London,16987,,,,,,,
LATAM,Argentina,Buenos Aires,15724,,,,,,,
LATAM,Brazil,Sao Paolo,13051,,,,,,,
LATAM,Chile,Santiago,13040,,,,,,,
LATAM,Columbia,Bogota,16247,,,,,,,
LATAM,Mexico,Mexico City,11917,,,,,,,
LATAM,Mexico,Tijuana,17253,,,,,,,
LATAM,Peru,Lima,11257,,,,,,,
NA,Canada,Toronto,11938,,,,,,,
NA,Canada,Vancouver,4653,,,,,,,
NA,USA,Chicago,12852,,,,,,,
NA,USA,Houston,3671,,,,,,,
NA,USA,Kansas City,15163,,,,,,,
NA,USA,Los Angeles,15424,,,,,,,
NA,USA,New York,14197,,,,,,,
NA,USA,Rochester,3095,,,,,,,
NA,USA,San Fransisco,15800,,,,,,,
NA,USA,Seattle,9990,,,,,,,
Grand Total,,,678016,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"7. Based on the table from the previous question, and without removing any field - How can you change the pivot to group the values to be shown on a Region basis only? For Example:",,,,,,,,,,
EMEA,123,,,,,,,,,
APAC,456,,,,,,,,,
,,,,,,,,,,
Region,Country,Store,Sum of Actual Price,,,,,,,
APAC,,,167030,,,,,,,
EMEA,,,305714,,,,,,,
LATAM,,,98489,,,,,,,
NA,,,106783,,,,,,,
Grand Total,,,678016,,,,,,,
,,,,,,,,,,
Simply collapse the regions to allow the calculation to sum to the total by region. ,,,,,,,,,,
*Note: This data is from previous question which was expanded - no major changes/adjustments needed. ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"8. As part of a re-organization process, you have decided that NA (North America) and LATAM (Latin America) should be consolidated into one entity called ""Americas"". ",,,,,,,,,,
"Rename the data accordingly to have the Pivot from previous question show the new ""Americas"" value instead of LATAM and NA.",,,,,,,,,,
,,,,,,,,,,
Region,Country,Store,Sum of Actual Price,,,,,,,
Americas,,,205272,,,,,,,
APAC,,,167030,,,,,,,
EMEA,,,305714,,,,,,,
Grand Total,,,678016,,,,,,,
